"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.198147083E-1,4.370910645E-2,7.694000244E-2,9.868677979E0,9.869074693E0
7.298117083E-1,4.580474854E-2,6.795867920E-2,9.860594788E0,9.860935352E0
7.398087083E-1,3.772155762E-2,7.529342651E-2,9.860894165E0,9.861253762E0
7.498047083E-1,4.176315308E-2,6.795867920E-2,9.854906616E0,9.855229422E0
7.598017083E-1,4.116439819E-2,6.466552734E-2,9.851314087E0,9.851612324E0
7.697987083E-1,4.445755005E-2,6.541397095E-2,9.849817200E0,9.850134737E0
7.797947083E-1,3.921844482E-2,7.708969116E-2,9.852511597E0,9.852891234E0
7.897927083E-1,4.056564331E-2,7.125183105E-2,9.868079224E0,9.868419831E0
7.997897083E-1,4.535568237E-2,7.035369873E-2,9.857151947E0,9.857507357E0
8.097867083E-1,3.981719971E-2,7.604187012E-2,9.866582336E0,9.866955700E0
8.197847083E-1,5.224136353E-2,7.080276489E-2,9.866732025E0,9.867124356E0
8.297817083E-1,4.924758911E-2,7.125183105E-2,9.858199768E0,9.858580264E0
8.397787083E-1,4.041595459E-2,7.604187012E-2,9.856852570E0,9.857228738E0
8.497757083E-1,4.445755005E-2,6.511459351E-2,9.861642609E0,9.861957784E0
8.597727083E-1,3.891906738E-2,7.334747314E-2,9.854307861E0,9.854657679E0
8.697697083E-1,4.101470947E-2,7.304809570E-2,9.862391052E0,9.862746854E0
8.797667083E-1,4.640350342E-2,7.080276489E-2,9.859996033E0,9.860359430E0
8.897637083E-1,4.625381470E-2,7.080276489E-2,9.866133270E0,9.866495738E0
8.997617083E-1,4.520599365E-2,6.556365967E-2,9.856702881E0,9.857024595E0
9.097597083E-1,3.906875610E-2,6.661148071E-2,9.855954437E0,9.856256963E0
9.197567083E-1,3.727249146E-2,6.511459351E-2,9.856852570E0,9.857138110E0
9.297547083E-1,4.281097412E-2,5.688171387E-2,9.859097900E0,9.859354934E0
9.397517083E-1,4.490661621E-2,7.274871826E-2,9.856104126E0,9.856474903E0
9.497497083E-1,4.011657715E-2,6.780899048E-2,9.851763153E0,9.852078188E0
9.597467083E-1,4.146377563E-2,6.840774536E-2,9.860894165E0,9.861218616E0
