"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.398800000E-1,1.005908203E-1,4.689448242E0,8.672216034E0,9.859430727E0
7.498780000E-1,1.067280579E-1,4.686454468E0,8.664432220E0,9.851224901E0
7.598760000E-1,1.002914429E-1,4.690046997E0,8.656498718E0,9.845890984E0
7.698740000E-1,9.969268799E-2,4.696483612E0,8.662336578E0,9.854084024E0
7.798732917E-1,9.879455566E-2,4.690945129E0,8.666078796E0,9.854727205E0
7.898702917E-1,1.032852173E-1,4.691244507E0,8.662037201E0,9.851361902E0
7.998682917E-1,1.011895752E-1,4.688849487E0,8.659642181E0,9.848093803E0
8.098662917E-1,9.939331055E-2,4.686753845E0,8.649912415E0,9.838522522E0
8.198632917E-1,9.909393311E-2,4.687053223E0,8.662037201E0,9.849323631E0
8.298622917E-1,9.969268799E-2,4.687651978E0,8.657097473E0,9.845270761E0
8.398592917E-1,1.031355286E-1,4.688550110E0,8.651409302E0,9.840732797E0
8.498572917E-1,1.068777466E-1,4.685406647E0,8.664132843E0,9.850464772E0
8.598552917E-1,1.079255676E-1,4.690945129E0,8.669222260E0,9.857587368E0
8.698522917E-1,1.029858398E-1,4.697531433E0,8.673862610E0,9.864750388E0
8.798502917E-1,1.002914429E-1,4.687502289E0,8.661588135E0,9.849154537E0
8.898472917E-1,1.014889526E-1,4.686903534E0,8.657845917E0,9.845590925E0
8.998452917E-1,1.067280579E-1,4.688400421E0,8.652157745E0,9.841357784E0
9.098432917E-1,1.062789917E-1,4.675826569E0,8.665480042E0,9.847090620E0
9.198402917E-1,1.064286804E-1,4.676575012E0,8.668024750E0,9.849686999E0
9.298392917E-1,1.001417542E-1,4.684358826E0,8.668024750E0,9.853319189E0
9.398362917E-1,1.026864624E-1,4.681814117E0,8.660540314E0,9.845551608E0
9.498332917E-1,1.059796143E-1,4.675976257E0,8.664581909E0,9.846368127E0
9.598302917E-1,9.999206543E-2,4.682263184E0,8.659492493E0,9.844815751E0
9.698282917E-1,1.083746338E-1,4.679868164E0,8.665480042E0,9.849033224E0
9.798242917E-1,1.028361511E-1,4.686903534E0,8.662186890E0,9.849422405E0
9.898222917E-1,1.097218323E-1,4.685855713E0,8.666827240E0,9.853079572E0
9.998192917E-1,1.088237000E-1,4.684059448E0,8.660540314E0,9.846685434E0
1.009817292E0,1.022373962E-1,4.685556335E0,8.668922882E0,9.854700127E0
1.019815292E0,1.001417542E-1,4.687352600E0,8.663983154E0,9.851188094E0
1.029813292E0,9.849517822E-2,4.692591705E0,8.656648407E0,9.847216858E0
1.039810292E0,9.565109253E-2,4.690645752E0,8.664132843E0,9.852842464E0
1.049807292E0,1.029858398E-1,4.675527191E0,8.665779419E0,9.847176932E0
1.059805292E0,1.103205872E-1,4.695585480E0,8.667276306E0,9.858112000E0
1.069802292E0,1.052311707E-1,4.692442017E0,8.659941559E0,9.850110328E0
1.079799292E0,1.055305481E-1,4.694088593E0,8.658893738E0,9.849976912E0
1.089796292E0,9.250762939E-2,4.689448242E0,8.662635956E0,9.850926057E0
1.099794292E0,9.939331055E-2,4.682412872E0,8.663234711E0,9.848172673E0
1.109791292E0,1.071771240E-1,4.683909760E0,8.658744049E0,9.845016307E0
1.119789292E0,1.041833496E-1,4.678371277E0,8.657396851E0,9.841165185E0
1.129787292E0,1.065783691E-1,4.678371277E0,8.671168213E0,9.853307817E0
1.139784292E0,1.005908203E-1,4.685706024E0,8.657546539E0,9.844748424E0
1.149782292E0,9.984237671E-2,4.687651978E0,8.661588135E0,9.849221217E0
1.159780292E0,9.984237671E-2,4.690196686E0,8.654852142E0,9.844510097E0
1.169778292E0,1.073268127E-1,4.689747620E0,8.656798096E0,9.846085773E0
1.179776292E0,9.984237671E-2,4.682712250E0,8.659791870E0,9.845291146E0
